16:03:12.736 -> Humidity: 41.60 %, Temp: 27.20 Celsius
16:03:14.728 -> Humidity: 40.30 %, Temp: 27.20 Celsius
16:03:16.754 -> Humidity: 39.60 %, Temp: 27.10 Celsius
16:03:18.760 -> Humidity: 39.50 %, Temp: 27.10 Celsius
16:03:20.760 -> Humidity: 38.80 %, Temp: 27.10 Celsius
16:03:22.781 -> Humidity: 38.10 %, Temp: 27.10 Celsius
16:03:24.777 -> Humidity: 37.50 %, Temp: 27.00 Celsius
16:03:26.788 -> Humidity: 37.30 %, Temp: 27.00 Celsius
16:03:28.810 -> Humidity: 37.20 %, Temp: 27.00 Celsius
16:03:30.792 -> Humidity: 36.90 %, Temp: 27.00 Celsius
16:03:32.814 -> Humidity: 36.30 %, Temp: 27.00 Celsius
16:03:34.822 -> Humidity: 35.70 %, Temp: 27.00 Celsius
16:03:36.830 -> Humidity: 35.10 %, Temp: 26.90 Celsius
16:03:38.849 -> Humidity: 34.50 %, Temp: 26.90 Celsius
16:03:40.844 -> Humidity: 34.20 %, Temp: 26.90 Celsius
16:03:42.870 -> Humidity: 34.00 %, Temp: 26.90 Celsius
16:03:44.859 -> Humidity: 33.60 %, Temp: 26.90 Celsius
16:03:46.855 -> Humidity: 33.20 %, Temp: 26.80 Celsius
16:03:48.866 -> Humidity: 32.90 %, Temp: 26.80 Celsius
16:03:50.880 -> Humidity: 32.80 %, Temp: 26.80 Celsius
16:03:52.890 -> Humidity: 32.80 %, Temp: 26.80 Celsius
16:03:54.905 -> Humidity: 32.60 %, Temp: 26.80 Celsius
16:03:56.926 -> Humidity: 32.60 %, Temp: 26.80 Celsius
16:03:58.931 -> Humidity: 32.50 %, Temp: 26.70 Celsius
16:04:00.913 -> Humidity: 32.50 %, Temp: 26.70 Celsius
16:04:02.924 -> Humidity: 32.50 %, Temp: 26.70 Celsius
16:04:04.944 -> Humidity: 32.70 %, Temp: 26.70 Celsius
16:04:06.954 -> Humidity: 32.80 %, Temp: 26.70 Celsius
16:04:08.969 -> Humidity: 33.00 %, Temp: 26.70 Celsius
16:04:10.981 -> Humidity: 32.90 %, Temp: 26.60 Celsius
16:04:12.987 -> Humidity: 32.90 %, Temp: 26.70 Celsius
16:04:15.002 -> Humidity: 32.70 %, Temp: 26.60 Celsius
16:04:17.006 -> Humidity: 32.60 %, Temp: 26.60 Celsius
16:04:19.015 -> Humidity: 32.40 %, Temp: 26.60 Celsius
16:04:21.019 -> Humidity: 32.30 %, Temp: 26.60 Celsius
16:04:23.011 -> Humidity: 32.30 %, Temp: 26.60 Celsius
16:04:25.038 -> Humidity: 32.40 %, Temp: 26.60 Celsius
16:04:27.013 -> Humidity: 32.40 %, Temp: 26.50 Celsius
16:04:29.028 -> Humidity: 32.70 %, Temp: 26.50 Celsius
16:04:31.059 -> Humidity: 33.00 %, Temp: 26.50 Celsius
16:04:33.065 -> Humidity: 33.50 %, Temp: 26.50 Celsius
16:04:35.072 -> Humidity: 33.70 %, Temp: 26.50 Celsius
16:04:37.068 -> Humidity: 33.60 %, Temp: 26.50 Celsius
16:04:39.077 -> Humidity: 33.40 %, Temp: 26.50 Celsius
16:04:41.100 -> Humidity: 33.50 %, Temp: 26.50 Celsius
16:04:43.113 -> Humidity: 33.30 %, Temp: 26.50 Celsius
16:04:45.093 -> Humidity: 33.10 %, Temp: 26.40 Celsius
16:04:47.098 -> Humidity: 33.20 %, Temp: 26.40 Celsius
16:04:49.108 -> Humidity: 33.40 %, Temp: 26.40 Celsius
16:04:51.120 -> Humidity: 33.20 %, Temp: 26.40 Celsius
16:04:53.149 -> Humidity: 33.20 %, Temp: 26.40 Celsius
16:04:55.162 -> Humidity: 33.00 %, Temp: 26.30 Celsius
16:04:57.167 -> Humidity: 33.00 %, Temp: 26.40 Celsius
16:04:59.175 -> Humidity: 32.80 %, Temp: 26.30 Celsius
16:05:01.169 -> Humidity: 32.70 %, Temp: 26.30 Celsius
16:05:03.181 -> Humidity: 32.70 %, Temp: 26.30 Celsius
16:05:05.187 -> Humidity: 33.00 %, Temp: 26.30 Celsius
16:05:07.205 -> Humidity: 32.90 %, Temp: 26.30 Celsius
16:05:09.221 -> Humidity: 32.90 %, Temp: 26.30 Celsius
16:05:11.204 -> Humidity: 32.50 %, Temp: 26.20 Celsius
16:05:13.220 -> Humidity: 32.40 %, Temp: 26.30 Celsius
